scenario,seed,head,qwk,acc_pct,mae,rmse,macro_p,macro_r,macro_f1,wtd_p,wtd_r,wtd_f1,p_no_dr,r_no_dr,f1_no_dr,p_mild,r_mild,f1_mild,p_moderate,r_moderate,f1_moderate,p_severe,r_severe,f1_severe,p_proliferative_dr,r_proliferative_dr,f1_proliferative_dr
single_ce,33,CE,0.8859,82.8338,0.2316,0.6065,0.6941,0.6783,0.6823,0.8284,0.8283,0.8266,0.9677,0.9945,0.9809,0.6047,0.7027,0.65,0.7708,0.74,0.7551,0.4,0.4211,0.4103,0.7273,0.5333,0.6154
single_ce,81,CE,0.8748,83.1063,0.2343,0.6307,0.7162,0.6825,0.6931,0.8329,0.8311,0.8294,0.9676,0.989,0.9781,0.5319,0.6757,0.5952,0.7755,0.76,0.7677,0.5333,0.4211,0.4706,0.7727,0.5667,0.6538
single_ce,5,CE,0.8836,83.9237,0.2207,0.6065,0.7224,0.6773,0.693,0.8345,0.8392,0.8342,0.9628,1.0,0.981,0.5814,0.6757,0.625,0.7822,0.79,0.7861,0.5714,0.4211,0.4848,0.7143,0.5,0.5882
single_coral,33,CORAL,0.8823,82.8338,0.2289,0.6087,0.7071,0.669,0.6771,0.8332,0.8283,0.8262,0.9626,0.9945,0.9783,0.6341,0.7027,0.6667,0.7677,0.76,0.7638,0.3478,0.4211,0.381,0.8235,0.4667,0.5957
single_coral,81,CORAL,0.878,82.5613,0.2343,0.6132,0.6927,0.6616,0.6595,0.8269,0.8256,0.8192,0.9624,0.989,0.9755,0.6341,0.7027,0.6667,0.7745,0.79,0.7822,0.4,0.5263,0.4545,0.6923,0.3,0.4186
single_coral,5,CORAL,0.8738,80.9264,0.248,0.6198,0.6634,0.6428,0.6322,0.8201,0.8093,0.8058,0.9781,0.989,0.9835,0.5472,0.7838,0.6444,0.766,0.72,0.7423,0.3333,0.4211,0.3721,0.6923,0.3,0.4186
